matricula,n,estrategia,status,tempo_s,geracao_s,limite_s,nos_expandidos,fronteira_max,custo,passos,profundidade,limite_recursao,fase,exitcode
24114036,12,bfs,ok,0.00025919999461621046,4.3400010326877236e-05,60,114,12,46,22,,1000,busca,0
24114036,12,dfs,ok,0.00019839999731630087,4.300000728107989e-05,60,81,63,131,62,63,1000,busca,0
24114036,12,ucs,ok,0.0004886999959126115,5.259999306872487e-05,60,112,16,36,24,,1000,busca,0
24114036,40,bfs,ok,0.0018175000150222331,0.00019719998817890882,60,1294,38,165,78,,1000,busca,0
24114036,40,dfs,ok,0.0017411999870091677,0.00019270001212134957,60,1035,707,1471,682,707,1000,busca,0
24114036,40,ucs,ok,0.002934899996034801,0.0001956000050995499,60,1292,53,112,82,,1000,busca,0
24114036,100,bfs,ok,0.012026799988234416,0.001129300013417378,60,8030,101,462,198,,1000,busca,0
24114036,100,dfs,RecursionError,0.0032301000028382987,0.0010648999887052923,60,1443,,,,993,1000,busca,0
24114036,100,ucs,ok,0.019016900012502447,0.0010440000041853637,60,8023,169,257,200,,1000,busca,0
